question,date,gender,time
我最近感情方面有點不順，想知道未來的發展會怎麼樣？,2007-03-26,女,3
我的工作壓力很大，請問我在事業上有什麼改善的機會嗎？,2008-07-20,女,3
我一直在考慮是否要換工作，你覺得這個決定好不好？,1981-01-02,女,3
我最近投資有點不順，未來的財運會變好嗎？,1989-09-17,女,11
我的健康狀況不太穩定，接下來會有改善的指標嗎？,1995-11-23,男,11
我對於家庭的問題感到困擾，能否給我一些指導？,1982-03-04,女,5
我和伴侶的關係有點冷淡，未來是否有可能改善？,2003-12-25,女,9
我想知道我是否會有小孩，何時會是最佳時機？,2004-10-04,女,3
我的人際關係一直不太好，未來我該怎麼處理？,1987-08-21,女,7
我對生活目標有些迷失，你能幫我看看方向嗎？,1983-12-26,女,1
我想了解一下我的婚姻運，未來會有什麼變化？,1999-02-06,女,11
最近經常感到疲憊，這樣的狀況會持續嗎？,2010-10-02,女,2
我很多事情都排不下來，是否有適合我的生活方式？,1998-01-23,女,7
我有開始考慮房屋的事情，這方面的運氣如何？,1985-09-22,女,2
我和朋友之間出現了一些誤會，會不會有機會和好？,1995-04-02,女,12
我的直覺對於未來的決定有懷疑，你覺得怎麼樣？,1985-05-19,男,7
我正在考慮進修，這對我的未來發展是好還是壞？,2009-01-09,女,6
我有一個創業的想法，能告訴我是否合適嗎？,2008-03-29,男,9
我的家庭關係有些緊張，能否改善？,1992-01-31,男,10
我想知道接下來是否會有新的戀情出現？,1986-09-04,女,6
我在生活上遇到了一些挑戰，該如何面對呢？,1985-10-04,男,2
我對目前的財務狀況感到焦慮，未來會更好嗎？,1984-09-19,女,7
我的工作人際關係不如意，如何才能改善？,2000-04-29,男,4
我一直想知道是否適合做副業，你有什麼建議嗎？,1982-07-04,男,8
我在尋找愛情，能否預測一下我的桃花運？,2010-12-20,男,7
我對未來的旅遊計劃有些擔心，這樣的安排會有問題嗎？,1987-08-07,女,9
我最近感覺情緒低落，你能告訴我怎麼調整嗎？,1995-02-01,女,2
我在父母那裡感受到一些壓力，這關係會改善嗎？,2007-08-25,女,8
我想要提升自己的事業能力，有什麼指導嗎？,2002-07-09,女,11
我是否能夠在未來取得學業上的成功？,1996-07-07,女,6
關於現在的戀情，我能否知道一些未來的變化？,2008-01-05,女,12
我的生活一直在重複，如何才能打破這種循環？,2000-06-25,女,7
我目前的處境讓我感到困惑，有什麼改變的機會？,1994-02-26,女,4
我想知道我的人際圈將來會有什麼變化？,1986-10-28,男,11
